"Material Name","Material Type","Base Color (F0)","Metalness","Specular Color","Specular Color (F82)","Density (kg/m3)","Relative Luminance","Description","References","Tags","MaterialX Download URL","Physics","Misc"
"Aluminum","Metal","0.916,0.923,0.924","1","0.989,0.989,0.972","0.910,0.936,0.959","2700","0.922","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Aluminium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Mirror"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)","aluminium, mirror","blob:https://physicallybased.info/562c02c8-8984-4b64-a016-3a970dc4f99a","Density: 2700 kg/m3","Relative Luminance: 0.922"
"Aluminum (Anodized Red)","Metal","0.600,0.000,0.000","1","0.989,0.989,0.972","0.910,0.936,0.959","2700","0.128","Aluminum can be colorized by a process called anodization. It creates a layer of aluminum oxide by supplying different voltages which results in different thickness. Unlike titanium, aluminum doesn't get vivid colors from anodization so dyes are used to color it further.","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2026-02-07)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Aluminium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Mirror"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Aluminium oxide"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-02-07)\nWikipedia contributors, ""Anodizing"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-02-07)\nRuan, B., ""Anodizing Color Chart"", Beska LLC, (Accessed: 2026-02-07)\n""What Is the Anodizing Process for Aluminum and Why Is It Used"", WUXI SEATHER TECHNOLOGY CO., LTD., (Accessed: 2026-02-07)","aluminium","blob:https://physicallybased.info/1434a55f-7413-4460-81e7-71f9f1555939","Density: 2700 kg/m3","Relative Luminance: 0.128"
"Amber","Non-Metal","","0","","","1060","","","Wikipedia contributors, ""Amber"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-02-10)","","blob:https://physicallybased.info/1196eae1-dd7d-45ff-9c42-eb57e9d37848","Density: 1060-1100 kg/m3",""
"Asphalt (Fresh)","Non-Metal","0.043,0.041,0.040","0","","","","0.042","Asphalt consists of crushed stone, gravel, and sand, bound together with bitumen.","Jakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2026-02-03)\nWikipedia contributors, ""Asphalt concrete"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-02-03)\nWikipedia contributors, ""Bitumen"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-02-03)\nTaylor, S. D., Czarnecki, J., & Masliyah, J., (2001), ""Refractive Index Measurements Of Diluted Bitumen Solutions"", Fuel, 80,(14), 2013---2018","tarmac, bitumen","blob:https://physicallybased.info/b0750815-efac-4879-999a-20bacbc94711","","Relative Luminance: 0.042"
"Banana","Non-Metal","0.634,0.532,0.111","0","","","","0.523","","Jakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-25)","","blob:https://physicallybased.info/dac9a2bf-217b-41ce-9ec8-81abfb4d5e72","","Relative Luminance: 0.523"
"Beryllium","Metal","0.539,0.533,0.534","1","0.549,0.503,0.364","0.731,0.738,0.755","1850","0.534","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-18)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Beryllium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-18)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-18)","","blob:https://physicallybased.info/bd08ebe2-9efc-4afd-b10e-188b06239bcd","Density: 1850 kg/m3","Relative Luminance: 0.534"
"Blackboard","Non-Metal","0.039,0.039,0.039","0","","","","0.039","","Jakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-25)\nPalmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-01-25)","","blob:https://physicallybased.info/a02515f7-7fb3-4824-b7f7-eaec612ea711","","Relative Luminance: 0.039"
"Blood","Non-Metal","","0","","","1060","","The color of blood depends on its oxygen level. When there is plenty of oxygen, the color is a brighter red. The reason is because of a protein called hemoglobin, which carries the oxygen in your blood. When hemoglobin has a full oxygen load, it has a bright red color, and when it's deoxygenated it's a darker red. For example, arterial and capillary blood is bright, and venous blood is dark.","Wikipedia contributors, ""Blood"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-11)\nWikipedia contributors, ""Blood Red"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Hemorheology"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Surface tension"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-08-30)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-07-22)\nShmukler, M., Elert, G. (Ed.), ""Density of Blood"", The Physics Factbook, (Accessed: 2025-01-26)\nShihana, F., Dissanayake, D. M., Buckley, N. A. & Dawson, A. H., (2009), ""A Simple Quantitative Bedside Test to Determine Methemoglobin"", Annals of emergency medicine, 55,(2), 184---189\n""Liquids - Dynamic Viscosities"", The Engineering ToolBox, (Accessed: 2025-01-26)\nNader, E., Skinner, S., Romana, M., Fort, R., Lemonne, N., Guillot, N., ... & Connes, P., (2019), ""Blood Rheology: Key Parameters, Impact on Blood Flow, Role in Sickle Cell Disease and Effects of Exercise"", Frontiers in physiology, 10, 1329\nRealFlow 10 Documentation, ""Hybrido Viscosity Table"", Next Limit Technologies, (Accessed: 2025-01-26)\n""Viscosity of Whole Blood"", Anton Paar GmbH, (Accessed: 2025-01-26)","liquid","blob:https://physicallybased.info/7b70aa9c-7bb5-4a11-8fc4-acf7ee7c4e75","Density: 1060 kg/m3\nViscosity: 2.35-4 mPa⋅s\nSurface Tension: 56 mN/m",""
"Bone","Non-Metal","0.793,0.793,0.664","0","","","1000","0.784","","Yarusskaya, A., Donina, K., Elert, G. (Ed.), ""Density of Bone"", The Physics Factbook, (Accessed: 2025-01-26)\nMeema, H. E., & Meema, S., (1978), ""Compact Bone Mineral Density of the Normal Human Radius"", Acta Radiologica: Oncology, Radiation, Physics, Biology, 17,(4), 342---352\nWikipedia contributors, ""Bone"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","skeleton","blob:https://physicallybased.info/bb8d9316-2018-43d5-ad64-980afa21bbb0","Density: 1000-2000 kg/m3","Relative Luminance: 0.784"
"Brass","Metal","0.910,0.778,0.423","1","0.995,0.974,0.747","0.952,0.979,1.021","8600","0.780","Brass is an alloy of copper and zinc, with a bright and gold-like appearance. It is similar to bronze, another alloy containing copper that uses tin instead of zinc. Historically, the distinction between the two alloys has been less consistent and clear, and modern practice in museums and archaeology increasingly avoids both terms for historical objects in favor of the more general ""copper alloy"".","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Brass"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/ef7f930f-53d9-441b-bd2f-d22235fe495b","Density: 8600 kg/m3","Relative Luminance: 0.780"
